29347,34132,1,1
9793,34132,1,1
30270,34132,1,1
34339,19579,1,1
14751,19579,1,1
9562,12071,1,1
3943,12071,1,1
29147,14755,1,1
29147,6116,1,1
32018,6116,1,1
29147,6376,1,1
29147,28125,1,1
34676,28125,1,1
24324,28125,1,1
12958,28125,1,1
29147,20858,1,1
29147,32009,1,1
29147,27932,1,1
31201,27932,1,1
21663,27932,1,1
22057,27932,1,1
29147,10982,1,1
34339,16066,1,1
14751,16066,1,1
3293,33081,1,1
12587,33081,1,1
28015,20069,1,1
9562,3697,1,1
28015,3697,1,1
4120,3697,1,1
33309,3697,1,1
9048,3697,1,1
16700,3697,1,1
30538,3697,1,1
19301,3697,1,1
34339,3697,1,1
14350,3697,1,1
19381,3697,1,1
6752,3697,1,1
20876,3697,1,1
22057,3697,1,1
18614,3697,1,1
28015,33817,1,1
11006,33817,1,1
10061,33817,1,1
23570,33817,1,1
6595,33817,1,1
10854,33817,1,1
9158,15565,1,1
536,15565,1,1
34676,15565,1,1
3943,15565,1,1
3608,15565,1,1
7531,1874,1,1
7531,25618,1,1
32819,644,1,1
32482,644,1,1
34166,644,1,1
26897,644,1,1
10240,644,1,1
18318,24351,1,1
19381,24351,1,1
8148,23755,1,1
28015,23913,1,1
24673,23913,1,1
33309,12687,1,1
4120,12687,1,1
9048,12687,1,1
16700,12687,1,1
30538,12687,1,1
19301,12687,1,1
33309,20033,1,1
4120,20033,1,1
9048,20033,1,1
16700,20033,1,1
30538,20033,1,1
19301,20033,1,1
4120,25775,1,1
33309,25775,1,1
9048,25775,1,1
16700,25775,1,1
30538,25775,1,1
19301,25775,1,1
4120,19563,1,1
33309,19563,1,1
9048,19563,1,1
16700,19563,1,1
30538,19563,1,1
19301,19563,1,1
4120,10347,1,1
33309,10347,1,1
9048,10347,1,1
16700,10347,1,1
30538,10347,1,1
19301,10347,1,1
4120,34639,1,1
33309,34639,1,1
9048,34639,1,1
16700,34639,1,1
30538,34639,1,1
19301,34639,1,1
25703,34639,1,1
4120,32799,1,1
33309,32799,1,1
9048,32799,1,1
16700,32799,1,1
30538,32799,1,1
19301,32799,1,1
4120,22814,1,1
33309,22814,1,1
9048,22814,1,1
16700,22814,1,1
30538,22814,1,1
19301,22814,1,1
4120,27691,1,1
33309,27691,1,1
9048,27691,1,1
16700,27691,1,1
30538,27691,1,1
19301,27691,1,1
25038,27691,1,1
32819,27691,1,1
28299,27691,1,1
4120,609,1,1
33309,609,1,1
9048,609,1,1
16700,609,1,1
30538,609,1,1
19301,609,1,1
4120,7969,1,1
33309,7969,1,1
9048,7969,1,1
16700,7969,1,1
30538,7969,1,1
19301,7969,1,1
4120,5987,1,1
33309,5987,1,1
9048,5987,1,1
16700,5987,1,1
30538,5987,1,1
19301,5987,1,1
19381,5987,1,1
4120,13318,1,1
33309,13318,1,1
9048,13318,1,1
16700,13318,1,1
30538,13318,1,1
19301,13318,1,1
4120,2924,1,1
33309,2924,1,1
9048,2924,1,1
16700,2924,1,1
30538,2924,1,1
19301,2924,1,1
4120,24010,1,1
33309,24010,1,1
9048,24010,1,1
16700,24010,1,1
30538,24010,1,1
19301,24010,1,1
4120,32568,1,1
33309,32568,1,1
9048,32568,1,1
16700,32568,1,1
30538,32568,1,1
19301,32568,1,1
4120,9938,1,1
33309,9938,1,1
9048,9938,1,1
16700,9938,1,1
30538,9938,1,1
19301,9938,1,1
4120,6004,1,1
33309,6004,1,1
9048,6004,1,1
16700,6004,1,1
30538,6004,1,1
19301,6004,1,1
4120,31411,1,1
33309,31411,1,1
9048,31411,1,1
16700,31411,1,1
30538,31411,1,1
19301,31411,1,1
4120,4688,1,1
33309,4688,1,1
9048,4688,1,1
16700,4688,1,1
30538,4688,1,1
19301,4688,1,1
4120,15407,1,1
33309,15407,1,1
9048,15407,1,1
16700,15407,1,1
30538,15407,1,1
19301,15407,1,1
4120,9825,1,1
33309,9825,1,1
9048,9825,1,1
16700,9825,1,1
30538,9825,1,1
34339,9825,1,1
19107,9825,1,1
19301,9825,1,1
25674,9825,1,1
9691,9825,1,1
6160,9825,1,1
3692,9825,1,1
26743,9825,1,1
4191,21539,1,1
29147,21539,1,1
4120,21539,1,1
33309,21539,1,1
9048,21539,1,1
16700,21539,1,1
30538,21539,1,1
25447,21539,1,1
19301,21539,1,1
1971,21539,1,1
22458,21539,1,1
20489,21539,1,1
34676,21539,1,1
4120,6585,1,1
33309,6585,1,1
9048,6585,1,1
16700,6585,1,1
30538,6585,1,1
19301,6585,1,1
6160,6585,1,1
10568,6585,1,1
22664,6585,1,1
24485,6585,1,1
4120,14024,1,1
33309,14024,1,1
9048,14024,1,1
16700,14024,1,1
30538,14024,1,1
19301,14024,1,1
11141,14024,1,1
4120,21206,1,1
33309,21206,1,1
9048,21206,1,1
16700,21206,1,1
30538,21206,1,1
19301,21206,1,1
10383,20592,1,1
14350,20592,1,1
18614,20592,1,1
14350,24576,1,1
24673,24576,1,1
24206,8950,1,1
1187,8950,1,1
23098,8950,1,1
23104,8950,1,1
34378,8950,1,1
32819,8950,1,1
25703,8950,1,1
5350,8950,1,1
20876,8950,1,1
31979,8950,1,1
14914,8950,1,1
34339,4710,1,1
18614,4710,1,1
34339,15232,1,1
18614,15232,1,1
34339,5326,1,1
6160,5326,1,1
18614,5326,1,1
34339,9764,1,1
18614,9764,1,1
34339,2085,1,1
18614,2085,1,1
6160,2085,1,1
686,2085,1,1
34166,2085,1,1
10677,2085,1,1
34339,3255,1,1
30037,3255,1,1
5490,3255,1,1
20876,26474,1,1
6595,26474,1,1
2491,26474,1,1
6595,21118,1,1
33585,21118,1,1
26620,21118,1,1
33390,21118,1,1
6595,24344,1,1
7531,24344,1,1
3692,24344,1,1
6160,785,1,1
10854,785,1,1
34614,785,1,1
10854,1099,1,1
10854,31485,1,1
26533,31485,1,1
19599,31485,1,1
24475,31485,1,1
17971,31485,1,1
10854,34435,1,1
33226,34435,1,1
17842,34435,1,1
18614,28815,1,1
10854,28815,1,1
19381,27909,1,1
10854,27909,1,1
22230,10030,1,1
10664,23999,1,1
22230,23999,1,1
22230,13136,1,1
22230,10748,1,1
17824,10748,1,1
22230,9946,1,1
7592,9946,1,1
22230,15997,1,1
22230,3616,1,1
25447,13696,1,1
22230,13696,1,1
1588,13696,1,1
1971,13696,1,1
22230,20488,1,1
26912,22309,1,1
22230,22309,1,1
33099,22309,1,1
26866,22309,1,1
25705,22309,1,1
14300,22309,1,1
17824,22309,1,1
22230,27182,1,1
22230,26103,1,1
16322,26103,1,1
22230,1790,1,1
25447,1790,1,1
1588,1790,1,1
27344,1790,1,1
460,1790,1,1
28326,1790,1,1
28497,1790,1,1
32196,1790,1,1
22230,2430,1,1
22230,19401,1,1
31201,19401,1,1
21663,19401,1,1
34339,29759,1,1
26340,18791,1,1
34339,18791,1,1
25350,18791,1,1
19914,18791,1,1
15309,18791,1,1
6160,18791,1,1
34339,10052,1,1
19914,10052,1,1
25350,10052,1,1
15309,10052,1,1
34339,23896,1,1
34339,18914,1,1
34339,7588,1,1
25674,7588,1,1
34339,2046,1,1
26005,2046,1,1
6160,2046,1,1
8819,2046,1,1
10568,2046,1,1
13668,2046,1,1
2722,2046,1,1
6493,2046,1,1
27410,2046,1,1
22371,2046,1,1
34339,10033,1,1
6681,10033,1,1
13668,10033,1,1
2722,10033,1,1
34339,16633,1,1
6160,16633,1,1
22664,16633,1,1
13668,16633,1,1
2722,16633,1,1
34339,31357,1,1
22664,31357,1,1
10568,31357,1,1
24485,31357,1,1
13668,31357,1,1
2722,31357,1,1
34339,20798,1,1
13668,20798,1,1
2722,20798,1,1
34339,25780,1,1
6595,25780,1,1
11337,25780,1,1
22664,25780,1,1
34077,25780,1,1
3085,25780,1,1
10568,25780,1,1
24485,25780,1,1
13668,25780,1,1
2722,25780,1,1
34339,4578,1,1
13668,4578,1,1
2722,4578,1,1
32210,4578,1,1
34339,34917,1,1
13668,34917,1,1
2722,34917,1,1
34339,13266,1,1
13668,13266,1,1
2722,13266,1,1
34339,10602,1,1
8819,10602,1,1
13668,10602,1,1
2722,10602,1,1
34339,28957,1,1
13668,28957,1,1
2722,28957,1,1
11094,4598,1,1
34339,4598,1,1
12925,4598,1,1
25038,4598,1,1
22423,4598,1,1
13668,4598,1,1
2722,4598,1,1
33230,4598,1,1
28143,4598,1,1
31979,4598,1,1
34339,6275,1,1
13668,6275,1,1
2722,6275,1,1
34339,16475,1,1
3236,16475,1,1
13668,16475,1,1
2722,16475,1,1
34339,26141,1,1
13668,26141,1,1
2722,26141,1,1
22664,26141,1,1
32380,26141,1,1
18186,26141,1,1
34339,29028,1,1
13668,29028,1,1
2722,29028,1,1
6160,29028,1,1
8819,29028,1,1
6681,29028,1,1
25067,29028,1,1
34339,28860,1,1
13668,28860,1,1
2722,28860,1,1
26005,28860,1,1
6160,28860,1,1
24206,28860,1,1
32380,28860,1,1
18186,28860,1,1
6493,28860,1,1
27410,28860,1,1
22371,28860,1,1
8819,28860,1,1
10568,28860,1,1
22664,28860,1,1
34339,19044,1,1
34339,4886,1,1
34339,17087,1,1
34339,32114,1,1
19431,32114,1,1
22423,32114,1,1
7581,32114,1,1
34339,23958,1,1
22423,23958,1,1
34339,13022,1,1
14751,13022,1,1
34339,29332,1,1
14751,29332,1,1
34339,23725,1,1
14751,23725,1,1
34339,31207,1,1
14751,31207,1,1
18234,31207,1,1
34339,32346,1,1
14751,32346,1,1
34339,34884,1,1
14751,34884,1,1
34339,30358,1,1
14751,30358,1,1
4968,30358,1,1
34339,24087,1,1
14751,24087,1,1
34339,28911,1,1
14751,28911,1,1
9691,28911,1,1
34339,7882,1,1
14751,7882,1,1
34339,32699,1,1
14751,32699,1,1
34339,28861,1,1
14751,28861,1,1
34339,24375,1,1
14751,24375,1,1
24324,24375,1,1
34339,8675,1,1
22057,8675,1,1
14751,8675,1,1
30467,8675,1,1
34339,4491,1,1
14751,4491,1,1
34339,16725,1,1
14751,16725,1,1
34339,21327,1,1
14751,21327,1,1
26618,21327,1,1
34339,4641,1,1
30467,4641,1,1
34339,8414,1,1
30467,8414,1,1
34339,27643,1,1
30467,27643,1,1
32210,27643,1,1
34339,27802,1,1
30467,27802,1,1
34339,22754,1,1
30467,22754,1,1
34339,24455,1,1
30467,24455,1,1
32210,24455,1,1
34339,24694,1,1
30467,24694,1,1
34339,32377,1,1
29525,32377,1,1
30467,32377,1,1
34339,15293,1,1
30467,15293,1,1
34339,16391,1,1
30467,16391,1,1
34339,969,1,1
30467,969,1,1
34339,11819,1,1
30467,11819,1,1
34339,18371,1,1
30467,18371,1,1
34193,18371,1,1
2491,18371,1,1
34339,6294,1,1
30467,6294,1,1
29525,6294,1,1
34339,34606,1,1
30467,34606,1,1
8221,34606,1,1
34339,15012,1,1
19431,15012,1,1
21328,15012,1,1
34339,19676,1,1
19431,19676,1,1
24673,19676,1,1
21328,19676,1,1
34339,1,1,1
19431,1,1,1
21328,1,1,1
34339,9044,1,1
19431,9044,1,1
21328,9044,1,1
7581,9044,1,1
34339,11196,1,1
19431,11196,1,1
21328,11196,1,1
34339,3061,1,1
21328,3061,1,1
19431,3061,1,1
34339,18306,1,1
21328,18306,1,1
19431,18306,1,1
7597,18306,1,1
34339,2953,1,1
21328,2953,1,1
19431,2953,1,1
34339,25675,1,1
21328,25675,1,1
19431,25675,1,1
34339,456,1,1
21328,456,1,1
19431,456,1,1
34339,25797,1,1
21328,25797,1,1
19431,25797,1,1
24856,25797,1,1
34339,9752,1,1
2241,17610,1,1
2241,8634,1,1
2241,25759,1,1
27890,25759,1,1
2241,17495,1,1
25038,17495,1,1
2241,30565,1,1
2241,30518,1,1
2241,25863,1,1
21432,25863,1,1
20477,25863,1,1
14292,25863,1,1
2241,19673,1,1
2241,18286,1,1
2241,32879,1,1
30037,32879,1,1
2241,23637,1,1
2241,20778,1,1
29638,20778,1,1
32819,20778,1,1
10664,20778,1,1
2241,783,1,1
11094,16333,1,1
2241,16333,1,1
33230,16333,1,1
28143,16333,1,1
31979,16333,1,1
25038,16333,1,1
25350,18017,1,1
19914,18017,1,1
15309,18017,1,1
19431,12752,1,1
25350,12752,1,1
19914,12752,1,1
15309,12752,1,1
7581,12752,1,1
25350,7687,1,1
19914,7687,1,1
15309,7687,1,1
25350,27523,1,1
19914,27523,1,1
15309,27523,1,1
25350,17077,1,1
19914,17077,1,1
15309,17077,1,1
25350,33186,1,1
19914,33186,1,1
15309,33186,1,1
22057,29217,1,1
9223,29217,1,1
1809,29217,1,1
32382,12403,1,1
6526,12403,1,1
29094,12403,1,1
21804,27878,1,1
3995,27878,1,1
31201,27878,1,1
21663,27878,1,1
3293,2701,1,1
26912,12946,1,1
16322,12946,1,1
9352,12946,1,1
6160,1495,1,1
6160,28927,1,1
11006,15021,1,1
1417,15021,1,1
7741,15021,1,1
19107,15021,1,1
6160,15021,1,1
3692,15021,1,1
26743,15021,1,1
19107,7962,1,1
6160,7962,1,1
12925,7962,1,1
32380,7962,1,1
18186,7962,1,1
11602,7962,1,1
21435,7962,1,1
22332,7962,1,1
6160,13637,1,1
6160,21902,1,1
10664,6378,1,1
29638,6378,1,1
32819,6378,1,1
6160,6378,1,1
33309,12059,1,1
536,12059,1,1
8148,2914,1,1
33309,2914,1,1
536,2914,1,1
24324,2914,1,1
33099,2914,1,1
26866,2914,1,1
25705,2914,1,1
14300,2914,1,1
14292,2914,1,1
33309,12134,1,1
536,12134,1,1
22664,12134,1,1
33309,17702,1,1
536,17702,1,1
33309,8422,1,1
536,8422,1,1
10664,8422,1,1
33309,8614,1,1
536,8614,1,1
9158,24420,1,1
2270,24420,1,1
34166,8545,1,1
19303,28727,1,1
2934,28727,1,1
2270,24776,1,1
2270,31402,1,1
11094,33171,1,1
21328,33171,1,1
2270,33171,1,1
3293,33171,1,1
10895,33171,1,1
2270,2286,1,1
27662,2286,1,1
26762,2286,1,1
12915,2286,1,1
2270,32072,1,1
25964,32072,1,1
3943,32072,1,1
16309,32072,1,1
9158,5831,1,1
9158,28346,1,1
9158,14668,1,1
9158,32840,1,1
28326,32840,1,1
9158,1788,1,1
536,1788,1,1
34411,1788,1,1
9158,16813,1,1
536,16813,1,1
9158,26731,1,1
536,26731,1,1
9158,20049,1,1
536,20049,1,1
9158,6512,1,1
536,6512,1,1
29638,28404,1,1
32819,28404,1,1
10664,28404,1,1
10664,30085,1,1
29638,30085,1,1
32819,30085,1,1
12915,30085,1,1
34193,30085,1,1
2491,30085,1,1
29638,22554,1,1
10664,22554,1,1
32819,22554,1,1
21125,22554,1,1
13583,22554,1,1
29638,31414,1,1
10664,31414,1,1
32819,31414,1,1
29638,5549,1,1
10664,5549,1,1
32819,5549,1,1
3943,5549,1,1
29638,33342,1,1
32819,33342,1,1
10664,33342,1,1
29638,24042,1,1
32819,24042,1,1
10664,24042,1,1
29638,21137,1,1
32819,21137,1,1
10664,21137,1,1
29638,34576,1,1
32819,34576,1,1
10664,34576,1,1
22423,18307,1,1
19381,34594,1,1
31201,34594,1,1
21663,34594,1,1
28143,34594,1,1
8148,16280,1,1
24324,16280,1,1
4191,10066,1,1
21267,10066,1,1
8556,10066,1,1
22057,10066,1,1
9223,10066,1,1
26791,10066,1,1
4968,10066,1,1
33099,8753,1,1
17867,8753,1,1
3257,8753,1,1
4191,33594,1,1
14751,33594,1,1
3943,33594,1,1
21804,8952,1,1
13823,8952,1,1
28326,8952,1,1
12915,11685,1,1
228,11685,1,1
686,11685,1,1
24966,11685,1,1
6595,7800,1,1
34077,7800,1,1
3085,7800,1,1
11337,7800,1,1
12915,19844,1,1
228,19844,1,1
12915,14099,1,1
228,14099,1,1
5925,14099,1,1
12915,13160,1,1
228,13160,1,1
1155,13160,1,1
11312,13160,1,1
686,20476,1,1
24966,20476,1,1
686,16570,1,1
24966,16570,1,1
13608,16570,1,1
5624,16570,1,1
686,13542,1,1
24966,13542,1,1
4140,13542,1,1
686,12244,1,1
24966,12244,1,1
13608,12244,1,1
5624,12244,1,1
686,6142,1,1
24966,6142,1,1
8148,18978,1,1
24324,18978,1,1
20418,11475,1,1
28327,24545,1,1
8350,15711,1,1
24966,19598,1,1
13608,19598,1,1
27692,19598,1,1
5624,19598,1,1
14350,17924,1,1
6595,17924,1,1
11337,17924,1,1
34077,17924,1,1
3085,17924,1,1
33585,17924,1,1
26620,17924,1,1
6595,15170,1,1
11337,15170,1,1
34077,15170,1,1
3085,15170,1,1
6595,15550,1,1
34077,15550,1,1
11337,15550,1,1
3085,15550,1,1
6595,30541,1,1
34077,30541,1,1
11337,30541,1,1
3085,30541,1,1
6595,16950,1,1
34077,16950,1,1
11337,16950,1,1
3085,16950,1,1
34193,16950,1,1
6595,18857,1,1
34077,18857,1,1
11337,18857,1,1
3085,18857,1,1
6595,33595,1,1
34077,33595,1,1
3085,33595,1,1
11337,33595,1,1
6595,22788,1,1
34077,22788,1,1
3085,22788,1,1
11337,22788,1,1
12692,22788,1,1
18975,22788,1,1
10056,22788,1,1
34193,22788,1,1
2491,22788,1,1
6595,2846,1,1
34077,2846,1,1
3085,2846,1,1
11337,2846,1,1
6595,5017,1,1
34077,5017,1,1
3085,5017,1,1
11337,5017,1,1
33390,5017,1,1
6595,11083,1,1
32819,11083,1,1
228,11083,1,1
34077,11083,1,1
3085,11083,1,1
11337,11083,1,1
6396,11083,1,1
18186,11083,1,1
12692,11083,1,1
6526,11083,1,1
6595,17894,1,1
34077,17894,1,1
3085,17894,1,1
11337,17894,1,1
12692,17894,1,1
18975,17894,1,1
30698,17894,1,1
6595,10642,1,1
34077,10642,1,1
3085,10642,1,1
11337,10642,1,1
6396,10642,1,1
24030,10642,1,1
6595,8389,1,1
34077,8389,1,1
3085,8389,1,1
11337,8389,1,1
14350,30125,1,1
6595,30125,1,1
34077,30125,1,1
3085,30125,1,1
11337,30125,1,1
23598,30125,1,1
6595,934,1,1
34077,934,1,1
3085,934,1,1
11337,934,1,1
30538,5631,1,1
6595,5631,1,1
34077,5631,1,1
3085,5631,1,1
11337,5631,1,1
6595,6358,1,1
34077,6358,1,1
3085,6358,1,1
11337,6358,1,1
23598,6358,1,1
16322,13931,1,1
9352,13931,1,1
7319,13931,1,1
3293,11965,1,1
12587,11965,1,1
8148,34561,1,1
24324,34561,1,1
8148,32195,1,1
34443,32195,1,1
24324,32195,1,1
668,32195,1,1
8148,30438,1,1
24324,30438,1,1
8148,9558,1,1
24324,9558,1,1
8148,40,1,1
24324,40,1,1
8148,28147,1,1
24324,28147,1,1
8148,22838,1,1
24324,22838,1,1
3873,22838,1,1
4968,22838,1,1
13274,22838,1,1
21804,21203,1,1
8148,21203,1,1
24324,21203,1,1
8148,4213,1,1
25447,4213,1,1
24324,4213,1,1
17824,4213,1,1
8148,12302,1,1
24324,12302,1,1
8148,3193,1,1
24324,3193,1,1
9352,3193,1,1
17824,25206,1,1
4968,17831,1,1
19107,4248,1,1
7862,4248,1,1
14350,21088,1,1
4968,21088,1,1
29405,21088,1,1
17971,14394,1,1
18957,14394,1,1
13865,14394,1,1
24206,19793,1,1
24206,490,1,1
24206,30118,1,1
24206,33098,1,1
24206,2251,1,1
24206,13657,1,1
24206,3699,1,1
24206,30801,1,1
11094,32832,1,1
25038,32832,1,1
33230,32832,1,1
28143,32832,1,1
31979,32832,1,1
3565,29972,1,1
7597,19135,1,1
11610,19135,1,1
20060,19135,1,1
1187,19135,1,1
23098,19135,1,1
23104,19135,1,1
34378,19135,1,1
24206,14143,1,1
1187,14143,1,1
23098,14143,1,1
23104,14143,1,1
34378,14143,1,1
32482,14143,1,1
25216,14143,1,1
1187,4366,1,1
23098,4366,1,1
23104,4366,1,1
34378,4366,1,1
1187,20446,1,1
23098,20446,1,1
23104,20446,1,1
34378,20446,1,1
1187,15637,1,1
23098,15637,1,1
23104,15637,1,1
34378,15637,1,1
12915,32989,1,1
1187,32989,1,1
23098,32989,1,1
23104,32989,1,1
34378,32989,1,1
32482,32989,1,1
1187,6895,1,1
23098,6895,1,1
23104,6895,1,1
34378,6895,1,1
3565,6895,1,1
5925,30975,1,1
1187,30975,1,1
23098,30975,1,1
23104,30975,1,1
34378,30975,1,1
1110,30975,1,1
24206,33829,1,1
1187,33829,1,1
23098,33829,1,1
23104,33829,1,1
34378,33829,1,1
1187,3463,1,1
23098,3463,1,1
23104,3463,1,1
34378,3463,1,1
1187,13086,1,1
23098,13086,1,1
23104,13086,1,1
34378,13086,1,1
1187,21781,1,1
23098,21781,1,1
23104,21781,1,1
34378,21781,1,1
4120,16726,1,1
1187,16726,1,1
23098,16726,1,1
10010,16726,1,1
23104,16726,1,1
34378,16726,1,1
1187,31483,1,1
23098,31483,1,1
23104,31483,1,1
34378,31483,1,1
1187,33333,1,1
23098,33333,1,1
23104,33333,1,1
34378,33333,1,1
1187,2696,1,1
23098,2696,1,1
23104,2696,1,1
34378,2696,1,1
1187,6884,1,1
23098,6884,1,1
17723,6884,1,1
23104,6884,1,1
34378,6884,1,1
1187,30572,1,1
23098,30572,1,1
33099,30572,1,1
27662,30572,1,1
26762,30572,1,1
23104,30572,1,1
34378,30572,1,1
23515,30572,1,1
1187,25603,1,1
23098,25603,1,1
23104,25603,1,1
34378,25603,1,1
1187,9135,1,1
23098,9135,1,1
19842,9135,1,1
23104,9135,1,1
34378,9135,1,1
1187,24231,1,1
23098,24231,1,1
23104,24231,1,1
34378,24231,1,1
1187,23191,1,1
23098,23191,1,1
23104,23191,1,1
34378,23191,1,1
1187,7175,1,1
23098,7175,1,1
23104,7175,1,1
34378,7175,1,1
1187,5917,1,1
23098,5917,1,1
23104,5917,1,1
34378,5917,1,1
24206,24178,1,1
12915,2833,1,1
5862,2833,1,1
20876,13827,1,1
29945,385,1,1
12915,17409,1,1
22664,977,1,1
10568,977,1,1
24485,977,1,1
228,27786,1,1
10860,27786,1,1
228,26936,1,1
19614,31870,1,1
32819,21770,1,1
32819,14774,1,1
32819,12498,1,1
4336,12498,1,1
1155,12498,1,1
11312,12498,1,1
32819,26138,1,1
25703,28292,1,1
26533,28292,1,1
1110,15089,1,1
31248,16701,1,1
17723,5979,1,1
12915,16216,1,1
12484,16216,1,1
18604,6368,1,1
11209,5442,1,1
7531,1931,1,1
6681,33917,1,1
26533,13968,1,1
3574,26598,1,1
31979,26598,1,1
1110,30445,1,1
31979,30445,1,1
16322,25824,1,1
13274,25824,1,1
25447,19323,1,1
4140,19323,1,1
9562,17124,1,1
31424,17124,1,1
25446,17124,1,1
13016,17124,1,1
7095,17124,1,1
25038,1184,1,1
30958,34632,1,1
27662,34632,1,1
26762,34632,1,1
19381,28662,1,1
12925,28662,1,1
28143,28662,1,1
25038,29194,1,1
31424,29194,1,1
24673,29194,1,1
21432,21046,1,1
20477,21046,1,1
14292,18010,1,1
14292,9958,1,1
14292,17195,1,1
14292,3877,1,1
14292,16133,1,1
22057,21714,1,1
14292,21714,1,1
9223,21714,1,1
1809,21714,1,1
14292,362,1,1
12587,362,1,1
3085,28016,1,1
17971,28016,1,1
18957,28016,1,1
21666,28016,1,1
30037,12571,1,1
30037,22801,1,1
30037,26215,1,1
13024,26215,1,1
30037,27800,1,1
22057,16609,1,1
9223,16609,1,1
1809,16609,1,1
15466,6506,1,1
5150,14553,1,1
11094,32451,1,1
31979,32451,1,1
25038,32451,1,1
33230,32451,1,1
28143,32451,1,1
11094,25716,1,1
31979,25716,1,1
25038,25716,1,1
26005,25716,1,1
14654,25716,1,1
33230,25716,1,1
28143,25716,1,1
11094,19850,1,1
31979,19850,1,1
25038,19850,1,1
13608,19850,1,1
6348,19850,1,1
33230,19850,1,1
28143,19850,1,1
